,Reference Genom,Node Name,prediction method,mse,rmse
0,archea1.4g_8nodes,213,Polynominal  1,2300.7299941334804,47.965925344284564
1,archea1.4g_8nodes,213,Polynominal  2,2222.8611818908885,47.14722878272792
2,archea1.4g_8nodes,213,Polynominal  3,1908.2448426809365,43.683461889838085
3,archea1.4g_8nodes,213,Polynominal_curve  1,2300.7299941334804,47.965925344284564
4,archea1.4g_8nodes,213,Polynominal_curve  2,2222.861181890887,47.14722878272791
5,archea1.4g_8nodes,213,Polynominal_curve  3,1908.2448426809365,43.683461889838085
0,archea1.4g_8nodes,213,Log_Polynominal  1,1.1601721208455147,1.4702694487900023
1,archea1.4g_8nodes,213,Log_Polynominal  2,1.0690920337882963,1.294954767726982
2,archea1.4g_8nodes,213,Log_Polynominal  3,1.0550124269008336,1.260381219221575
3,archea1.4g_8nodes,213,Log_curve  1,inf,1.38574882439261e+59
4,archea1.4g_8nodes,213,Log_curve  2,inf,5.255219968408949e+61
5,archea1.4g_8nodes,213,Log_curve  3,inf,1.1131292890934525e+61
0,archea1.4g_8nodes,213,Smoothing Spline,1.2608812677749515,1.1228896952839809
0,archea1.4g_8nodes,213,Univariatn Spline smoothing approximation 1 with degree  1 ,2300.72999413348,47.965925344284564
1,archea1.4g_8nodes,213,Univariatn Spline smoothing approximation 1 with degree  2 ,2222.861181890888,47.14722878272792
2,archea1.4g_8nodes,213,Univariatn Spline smoothing approximation 1 with degree  3 ,1908.2448426809362,43.683461889838085
3,archea1.4g_8nodes,213,Univariatn Spline smoothing approximation 2 with degree  1 ,0.634963996471366,0.7968462815821921
4,archea1.4g_8nodes,213,Univariatn Spline smoothing approximation 2 with degree  2 ,0.6350036714185968,0.7968711761750432
5,archea1.4g_8nodes,213,Univariatn Spline smoothing approximation 2 with degree  3 ,0.6348908394489984,0.7968003761601763
0,archea1.4g_8nodes,213,Generell Spline approximation smoothing s1 with degree  1 ,0.6348478360246675,0.7967733906354225
1,archea1.4g_8nodes,213,Generell Spline approximation smoothing s1 with degree  2 ,0.6350036714185968,0.7968711761750432
2,archea1.4g_8nodes,213,Generell Spline approximation smoothing s1 with degree  3 ,0.6348908394489984,0.7968003761601763
3,archea1.4g_8nodes,213,Generell Spline approximation smoothing s2 with degree  1 ,2300.72999413348,47.965925344284564
4,archea1.4g_8nodes,213,Generell Spline approximation smoothing s2 with degree  2 ,2222.861181890888,47.14722878272792
5,archea1.4g_8nodes,213,Generell Spline approximation smoothing s2 with degree  3 ,1908.2448426809362,43.683461889838085
0,archea1.4g_8nodes,216,Polynominal  1,318.48293441708216,17.846090171717787
1,archea1.4g_8nodes,216,Polynominal  2,180.45353451360222,13.433299464897008
2,archea1.4g_8nodes,216,Polynominal  3,118.3155838506131,10.877296716124512
3,archea1.4g_8nodes,216,Polynominal_curve  1,318.48293441708216,17.846090171717787
4,archea1.4g_8nodes,216,Polynominal_curve  2,180.45353451360222,13.433299464897008
5,archea1.4g_8nodes,216,Polynominal_curve  3,118.3155838506131,10.877296716124512
0,archea1.4g_8nodes,216,Log_Polynominal  1,1.274959364898693,1.63699685310654
1,archea1.4g_8nodes,216,Log_Polynominal  2,1.1526805456880862,1.4578291666995356
2,archea1.4g_8nodes,216,Log_Polynominal  3,1.1196650649653745,1.3996171543116414
3,archea1.4g_8nodes,216,Log_curve  1,inf,7.309935059903161e+29
4,archea1.4g_8nodes,216,Log_curve  2,inf,5.17220611312976e+42
5,archea1.4g_8nodes,216,Log_curve  3,inf,3.186466406208834e+40
0,archea1.4g_8nodes,216,Smoothing Spline,29.221817527005392,5.405720814748519
0,archea1.4g_8nodes,216,Univariatn Spline smoothing approximation 1 with degree  1 ,318.4829344170822,17.846090171717787
1,archea1.4g_8nodes,216,Univariatn Spline smoothing approximation 1 with degree  2 ,180.45353451360205,13.433299464897
2,archea1.4g_8nodes,216,Univariatn Spline smoothing approximation 1 with degree  3 ,118.315583850613,10.877296716124507
3,archea1.4g_8nodes,216,Univariatn Spline smoothing approximation 2 with degree  1 ,0.6912746685100105,0.83142929254989
4,archea1.4g_8nodes,216,Univariatn Spline smoothing approximation 2 with degree  2 ,0.6913262091008245,0.8314602871459493
5,archea1.4g_8nodes,216,Univariatn Spline smoothing approximation 2 with degree  3 ,0.6914871306059487,0.8315570519248506
0,archea1.4g_8nodes,216,Generell Spline approximation smoothing s1 with degree  1 ,0.6913655497263733,0.8314839443587431
1,archea1.4g_8nodes,216,Generell Spline approximation smoothing s1 with degree  2 ,0.6913262091008245,0.8314602871459493
