,Reference Genom,Node Name,prediction method,mse,rmse
0,bacteria30g_8nodes,213,Polynominal  1,58351.88175339028,241.56134159544294
1,bacteria30g_8nodes,213,Polynominal  2,56194.24444440749,237.05325233880993
2,bacteria30g_8nodes,213,Polynominal  3,55893.39526057785,236.4178404024913
3,bacteria30g_8nodes,213,Polynominal_curve  1,58351.88175339028,241.56134159544294
4,bacteria30g_8nodes,213,Polynominal_curve  2,56194.24444440749,237.05325233880993
5,bacteria30g_8nodes,213,Polynominal_curve  3,55893.39526057785,236.4178404024913
0,bacteria30g_8nodes,213,Log_Polynominal  1,1.325504867571096,1.700363716377517
1,bacteria30g_8nodes,213,Log_Polynominal  2,1.29419348879698,1.6616755472296267
2,bacteria30g_8nodes,213,Log_Polynominal  3,1.2925107427504643,1.6595455792038045
3,bacteria30g_8nodes,213,Log_curve  1,inf,1.153176704898639e+249
4,bacteria30g_8nodes,213,Log_curve  2,inf,8.333553644288038e+286
5,bacteria30g_8nodes,213,Log_curve  3,inf,1.0195575193583147e+283
0,bacteria30g_8nodes,213,Smoothing Spline,20612.505171962348,143.5705581655318
0,bacteria30g_8nodes,213,Univariatn Spline smoothing approximation 1 with degree  1 ,58351.881753390284,241.56134159544297
1,bacteria30g_8nodes,213,Univariatn Spline smoothing approximation 1 with degree  2 ,56194.24444440749,237.05325233880993
2,bacteria30g_8nodes,213,Univariatn Spline smoothing approximation 1 with degree  3 ,55893.395260577854,236.41784040249132
3,bacteria30g_8nodes,213,Univariatn Spline smoothing approximation 2 with degree  1 ,0.8143249186471933,0.9023995338247872
4,bacteria30g_8nodes,213,Univariatn Spline smoothing approximation 2 with degree  2 ,0.8143423702477693,0.902409203326168
5,bacteria30g_8nodes,213,Univariatn Spline smoothing approximation 2 with degree  3 ,0.8143068170296893,0.9023895040555876
0,bacteria30g_8nodes,213,Generell Spline approximation smoothing s1 with degree  1 ,0.8136405106663063,0.9020202385015018
1,bacteria30g_8nodes,213,Generell Spline approximation smoothing s1 with degree  2 ,0.8143423702477693,0.902409203326168
2,bacteria30g_8nodes,213,Generell Spline approximation smoothing s1 with degree  3 ,0.8143207808618231,0.9023972411647895
3,bacteria30g_8nodes,213,Generell Spline approximation smoothing s2 with degree  1 ,58351.881753390284,241.56134159544297
