Node Name	Data Size	Total-time	CPU-time	max-rss	I/O In (read MB)	I/O out (write MB)	mem_mb	disk_mb
222	671.0	880.0	825.0	15915.0	673.0	2250.0	1341.0	1341.0
226	671.0	337.0	351.0	14592.0	674.0	3642.0	1341.0	1341.0
247	671.0	279.0	249.0	15919.0	670.0	1490.0	1341.0	1341.0
225	669.0	652.0	625.0	14921.0	670.0	3630.0	1337.0	1337.0
228	669.0	527.0	500.0	15865.0	668.0	3630.0	1337.0	1337.0
248	669.0	450.0	424.0	14049.0	670.0	3630.0	1337.0	1337.0
217	352.0	419.0	402.0	7532.0	353.0	1909.0	1000.0	1000.0
221	352.0	372.0	342.0	7444.0	355.0	781.0	1000.0	1000.0
227	352.0	339.0	313.0	7661.0	0.0	781.0	1000.0	1000.0
247	352.0	145.0	130.0	7401.0	355.0	1909.0	1000.0	1000.0
213	320.0	291.0	277.0	6872.0	322.0	1733.0	1000.0	1000.0
218	320.0	331.0	313.0	6703.0	320.0	1339.0	1000.0	1000.0
222	320.0	189.0	161.0	6491.0	322.0	709.0	1000.0	1000.0
228	320.0	250.0	223.0	6822.0	0.0	709.0	1000.0	1000.0
248	320.0	129.0	101.0	6457.0	322.0	709.0	1000.0	1000.0
215	324.0	279.0	253.0	7685.0	326.0	718.0	1000.0	1000.0
219	324.0	222.0	192.0	7685.0	323.0	718.0	1000.0	1000.0
225	324.0	410.0	391.0	6832.0	380.0	1756.0	1000.0	1000.0
216	346.0	401.0	373.0	8201.0	345.0	766.0	1000.0	1000.0
220	346.0	390.0	373.0	7370.0	346.0	1874.0	1000.0	1000.0
226	346.0	305.0	281.0	7419.0	34.0	766.0	1000.0	1000.0
247	172.0	71.0	43.0	3417.0	171.0	381.0	1000.0	1000.0
248	180.0	75.0	43.0	3573.0	180.0	399.0	1000.0	1000.0
247	172.0	71.0	43.0	3417.0	171.0	381.0	1000.0	1000.0
248	180.0	75.0	43.0	3573.0	180.0	399.0	1000.0	1000.0
226	164.0	91.0	72.0	3240.0	163.0	362.0	1000.0	1000.0
225	161.0	90.0	72.0	3184.0	160.0	355.0	1000.0	1000.0
222	173.0	192.0	163.0	3435.0	174.0	384.0	1000.0	1000.0
221	173.0	98.0	72.0	3424.0	172.0	382.0	1000.0	1000.0
213	180.0	139.0	132.0	3796.0	180.0	976.0	1000.0	1000.0
215	150.0	83.0	73.0	3249.0	151.0	331.0	1000.0	1000.0
216	170.0	116.0	103.0	4051.0	169.0	377.0	1000.0	1000.0
220	173.0	137.0	134.0	3471.0	172.0	382.0	1000.0	1000.0
248	123.0	72.0	42.0	2436.0	123.0	271.0	1000.0	1000.0
247	11.0	46.0	40.0	2335.0	110.0	602.0	1000.0	1000.0
225	98.0	53.0	43.0	1968.0	99.0	216.0	1000.0	1000.0
226	105.0	95.0	73.0	2092.0	104.0	233.0	1000.0	1000.0
227	113.0	89.0	73.0	2274.0	112.0	250.0	1000.0	1000.0
228	97.0	76.0	71.0	2043.0	97.0	526.0	1000.0	1000.0
222	101.0	101.0	73.0	2003.0	100.0	222.0	1000.0	1000.0
221	117.0	66.0	43.0	2320.0	116.0	258.0	1000.0	1000.0
220	110.0	92.0	74.0	2263.0	109.0	242.0	1000.0	1000.0
218	23.0	21.0	14.0	484.0	22.0	49.0	1000.0	1000.0
221	30.0	27.2853	14.31	603.27	0.0	64.68	1000.0	1000.0
241	35.0	29.7702	14.06	733.89	0.0	77.52	1000.0	1000.0
220	27.0	22.5348	14.2	546.42	0.0	58.34	1000.0	1000.0
248	32.0	27.1853	14.34	660.65	0.0	71.04	1000.0	1000.0
217	27.0	24.2169	14.27	545.39	0.0	58.24	1000.0	1000.0
244	23.0	18.0053	14.23	471.38	0.0	50.01	1000.0	1000.0
247	30.0	25.7393	14.09	608.11	0.0	65.2	1000.0	1000.0
224	33.0	27.7782	14.4	693.54	0.0	73.01	1000.0	1000.0
247	29.0	22.2659	14.28	588.41	0.0	63.02	1000.0	1000.0
240	32.0	35.0324	14.63	658.59	0.0	70.81	1000.0	1000.0
226	28.0	22.7471	14.29	576.2	0.0	61.67	1000.0	1000.0
248	26.0	27.0214	14.62	568.8	0.0	56.85	1000.0	1000.0
213	23.0	21.2948	7.78	467.03	0.89	49.54	1000.0	1000.0
225	26.0	21.503	14.07	527.84	0.0	56.29	1000.0	1000.0
217	27.0	21.3443	13.95	557.06	0.0	59.57	1000.0	1000.0
219	23.0	17.3909	13.46	556.78	0.0	57.51	1000.0	1000.0
221	30.0	24.1004	14.23	617.51	0.0	66.23	1000.0	1000.0
226	31.0	35.514	14.08	624.59	0.0	67.0	1000.0	1000.0
220	29.0	25.0483	14.22	599.38	0.0	64.23	1000.0	1000.0
223	27.0	27.9569	14.72	557.89	0.0	59.6	1000.0	1000.0
220	31.0	42.557	14.27	624.27	0.0	67.0	1000.0	1000.0
221	21.0	20.4572	9.29	426.96	2.14	45.09	1000.0	1000.0
213	29.0	25.05	14.11	585.12	0.0	62.64	1000.0	1000.0
241	26.0	15.2813	13.85	584.66	0.0	128.34	1000.0	1000.0
222	32.0	26.8424	14.47	653.02	0.0	70.2	1000.0	1000.0
244	29.0	24.8234	14.33	585.11	0.0	62.64	1000.0	1000.0
240	22.0	19.3577	13.97	458.5	0.0	48.57	1000.0	1000.0
225	28.0	11.97	10.39	689.97	0.0	110.02	1000.0	1000.0
216	23.0	26.8375	5.63	491.08	3.55	50.24	1000.0	1000.0
228	29.0	31.9112	14.58	581.56	0.0	62.25	1000.0	1000.0
216	30.0	36.2442	14.15	613.57	0.0	65.61	1000.0	1000.0
244	31.0	25.324	14.13	636.71	0.0	68.37	1000.0	1000.0
248	31.0	28.5284	14.14	631.35	0.0	67.77	1000.0	1000.0
240	26.0	22.1269	14.15	531.2	0.0	56.65	1000.0	1000.0
244	24.0	19.1473	2.03	495.44	0.07	52.72	1000.0	1000.0
244	28.0	22.9956	14.07	578.39	0.0	61.9	1000.0	1000.0
228	29.0	24.2205	14.46	589.22	0.0	63.1	1000.0	1000.0
244	30.0	22.4582	2.5	603.62	0.0	64.75	1000.0	1000.0
242	29.0	22.7181	14.34	602.5	0.0	64.39	1000.0	1000.0
221	29.0	12.0612	10.41	696.84	0.0	62.63	1000.0	1000.0
225	27.0	28.5473	13.93	558.19	0.0	59.65	1000.0	1000.0
224	31.0	29.0992	13.87	641.03	0.0	68.86	1000.0	1000.0
224	23.0	18.3306	14.26	469.47	0.0	49.8	1000.0	1000.0
220	77.0	83.1687	73.19	1666.77	0.0	170.17	1000.0	1000.0
242	69.0	59.5218	44.0	1361.02	0.0	151.42	1000.0	1000.0
216	77.0	90.9735	74.66	1530.21	0.0	170.6	1000.0	1000.0
242	66.0	79.8936	73.7	1571.21	0.0	145.33	1000.0	1000.0
220	59.0	54.2121	44.1	1208.09	0.0	130.19	1000.0	1000.0
247	63.0	57.7023	44.17	1287.64	0.0	139.06	1000.0	1000.0
216	70.0	76.4681	44.13	1385.12	0.0	153.43	1000.0	1000.0
225	72.0	81.2402	73.95	1722.32	0.0	159.48	1000.0	1000.0
213	63.0	52.2593	44.11	1277.58	0.0	137.92	1000.0	1000.0
220	75.0	65.3885	44.05	1483.15	0.0	165.31	1000.0	1000.0
216	68.0	55.9655	44.52	1359.18	0.0	149.71	1000.0	1000.0
241	63.0	53.5283	44.01	1293.56	0.0	139.7	1000.0	1000.0
