Node Name	Data Size	Total-time	CPU-time	max-rss	I/O In (read MB)	I/O out (write MB)	mem_mb	disk_mb
222	24576.0	2431.1322	2387.84	64682.55	13.83	11447.67	4782.0	4782.0
222	24576.0	2131.3485	2005.73	65019.77	958.24	11507.65	4876.0	4876.0
220	24576.0	2318.7432	2273.03	65630.5	215.45	15031.96	4762.0	4762.0
221	309.0	121.1323	100.59	6221.39	9.19	684.82	1000.0	1000.0
224	293.0	266.6127	252.47	6274.64	0.0	649.81	1000.0	1000.0
226	306.0	114.7938	103.2	6483.87	0.58	678.95	1000.0	1000.0
244	319.0	296.3328	283.34	6860.71	0.0	707.07	1000.0	1000.0
240	301.0	118.713	102.33	6184.51	0.0	668.58	1000.0	1000.0
228	298.0	260.0864	253.36	7080.28	0.0	660.42	1000.0	1000.0
228	293.0	229.9311	220.29	6971.27	0.0	650.17	1000.0	1000.0
221	317.0	281.187	251.95	6410.28	0.0	704.09	1000.0	1000.0
222	286.0	209.2306	192.27	5929.86	0.0	635.22	1000.0	1000.0
217	302.0	119.9029	100.71	6161.22	10.88	670.1	1000.0	1000.0
216	292.0	412.0707	403.23	6922.65	0.03	1581.75	1000.0	1000.0
242	309.0	120.2067	102.09	6277.9	0.0	686.32	1000.0	1000.0
248	289.0	263.5974	252.52	6862.29	0.0	641.41	1000.0	1000.0
219	293.0	115.0785	102.56	6193.91	0.0	649.86	1000.0	1000.0
217	287.0	254.2494	223.7	6805.61	0.0	636.11	1000.0	1000.0
241	322.0	126.2295	98.4	6380.02	1.3	713.56	1000.0	1000.0
213	306.0	246.8569	221.2	6265.01	0.0	678.02	1000.0	1000.0
228	329.0	283.8324	248.04	6722.99	0.0	729.97	1000.0	1000.0
222	297.0	267.5475	252.3	6360.56	0.0	658.79	1000.0	1000.0
241	320.0	255.1954	222.34	6389.25	0.0	1343.03	1000.0	1000.0
248	314.0	261.3719	253.32	7472.54	0.0	697.2	1000.0	1000.0
223	880.0	3314.6845	0.0	29143.11	2.67	6670.49	1760.0	1760.0
216	21504.0	903.1875	874.56	49785.91	7.25	4664.45	4150.0	4150.0
216	22528.0	1823.6792	1801.34	51357.95	494.73	11761.11	4330.0	4330.0
213	21504.0	1828.6175	1795.5	49997.29	3.91	8847.09	4215.0	4215.0
247	21504.0	2182.6393	0.0	50756.3	0.0	11623.06	4280.0	4280.0
222	21504.0	1969.3784	1930.19	50070.3	0.18	8860.4	4222.0	4222.0
244	21504.0	1752.5545	1730.92	49861.54	0.0	8823.29	4204.0	4204.0
223	21504.0	2201.7798	2049.45	50991.59	3.92	9023.49	4300.0	4300.0
222	21504.0	1853.4904	1704.57	49740.65	3.47	8802.46	4194.0	4194.0
242	21504.0	1884.3992	1864.2	50561.84	623.74	11578.54	4263.0	4263.0
226	21504.0	2048.8173	2012.28	49922.48	26.65	8834.04	4209.0	4209.0
225	21504.0	1972.7087	1871.98	50012.65	4.46	8850.09	4217.0	4217.0
247	21504.0	1547.5788	1492.46	49686.74	0.06	6490.16	4189.0	4189.0
216	22528.0	2348.5736	2244.62	51499.64	0.0	9113.21	4342.0	4342.0
224	21504.0	1922.166	0.0	50482.89	1003.05	11560.77	4257.0	4257.0
222	934.0	1084.062	1067.54	22158.57	0.01	2074.16	1867.0	1867.0
220	216.0	196.2071	163.16	4374.79	0.0	1172.37	1000.0	1000.0
220	18432.0	1379.1606	1204.0	42248.13	1.0	9673.43	3562.0	3562.0
216	18432.0	1649.3593	1354.6	43336.62	61.35	7668.43	3654.0	3654.0
240	18432.0	1957.9621	0.0	42861.84	0.0	9813.89	3613.0	3613.0
246	19456.0	1638.564	0.0	44067.73	1.19	10090.43	3715.0	3715.0
226	18432.0	1701.0891	1574.23	42944.16	2756.95	7598.49	3621.0	3621.0
244	18432.0	1883.6205	0.0	42584.26	8.52	9750.75	3590.0	3590.0
224	18432.0	929.2365	888.85	42779.21	0.01	9794.97	3606.0	3606.0
217	18432.0	1700.8519	0.0	43499.2	24.54	9960.14	3667.0	3667.0
220	18432.0	1213.2121	1183.13	42404.18	1996.32	3971.96	3575.0	3575.0
244	18432.0	1828.5283	0.0	43335.29	0.0	9922.8	3654.0	3654.0
228	18432.0	2069.0713	2036.76	49026.22	8.28	11228.09	3617.0	3617.0
240	18432.0	1254.1346	1201.4	43409.31	4.07	4066.23	3660.0	3660.0
222	18432.0	1641.6359	1592.87	43154.16	0.0	4042.4	3638.0	3638.0
224	19456.0	1844.1986	1820.12	44303.11	27.3	7839.01	3735.0	3735.0
247	18432.0	1802.7982	1669.4	43083.23	2.63	5154.25	3632.0	3632.0
222	18432.0	1182.5735	1150.71	41559.84	5.12	3892.94	3504.0	3504.0
213	18432.0	1644.9061	1616.74	43368.75	1412.17	7673.55	3656.0	3656.0
223	18432.0	1306.8592	1276.1	41851.43	13.95	6265.82	3528.0	3528.0
228	18432.0	1704.6695	1683.17	42811.93	5738.34	7653.96	3647.0	3647.0
226	18432.0	908.0375	861.14	42978.77	0.0	4025.98	3623.0	3623.0
223	18432.0	1250.3506	1217.95	42845.95	55.9	8899.72	3612.0	3612.0
247	18432.0	1634.7352	1611.47	42521.08	4.3	7524.29	3585.0	3585.0
216	18432.0	1562.017	1516.93	42131.09	1.32	3946.35	3552.0	3552.0
241	18432.0	1360.315	1334.17	43060.85	2.63	7618.85	3630.0	3630.0
222	18432.0	1698.2982	1626.5	42497.23	2093.03	7519.93	3583.0	3583.0
246	18432.0	1419.4322	1406.68	42508.03	23.93	9732.98	3584.0	3584.0
216	18432.0	1418.3173	1375.37	41748.24	0.75	9558.84	3519.0	3519.0
241	19456.0	2140.8247	0.0	44074.18	3.36	10092.13	3716.0	3716.0
223	18432.0	1642.175	1612.65	43647.63	7.27	7597.4	3680.0	3680.0
247	934.0	599.8119	570.31	22160.59	4.39	3917.8	1867.0	1867.0
248	27648.0	2189.9748	2151.99	64925.85	3.52	14870.45	5475.0	5475.0
242	27648.0	2370.6439	2320.53	65330.81	12.25	11562.67	5509.0	5509.0
219	27648.0	1899.9293	1845.42	65052.96	4.72	14899.7	5486.0	5486.0
241	26624.0	2135.9181	2088.07	62883.69	154.74	11129.2	5303.0	5303.0
248	12288.0	1234.1606	1215.13	28480.6	34.13	6519.92	2401.0	2401.0
244	12288.0	504.5438	475.4	27861.45	0.0	2608.58	2348.0	2348.0
242	12288.0	1092.4695	1067.73	28529.05	95.1	6017.21	2404.0	2404.0
246	12288.0	1257.062	1245.67	29098.31	0.0	6659.9	2452.0	2452.0
226	12288.0	1223.4503	1180.56	28017.07	0.0	2623.18	2361.0	2361.0
224	13312.0	1045.2715	998.38	27952.14	0.38	5183.13	2470.0	2470.0
221	12288.0	1222.5035	1192.41	28457.38	3.84	2664.46	2398.0	2398.0
224	12288.0	1392.4287	0.0	28423.48	26.5	6505.38	2395.0	2395.0
248	12288.0	908.5961	860.81	28596.1	2.39	2677.55	2410.0	2410.0
248	12288.0	1171.3378	1148.71	28336.65	0.0	5011.4	2388.0	2388.0
216	12288.0	1324.4345	1306.56	29052.32	17.12	6649.95	2448.0	2448.0
224	12288.0	1214.9919	1185.82	27699.07	0.0	4898.37	2334.0	2334.0
226	12288.0	865.9762	828.96	28663.89	0.0	3730.52	2415.0	2415.0
241	13312.0	704.1537	670.9	29435.98	2.66	2756.18	2481.0	2481.0
242	13312.0	1013.1261	978.53	29652.2	2307.63	4309.88	2499.0	2499.0
240	12288.0	1038.6175	1006.47	28596.21	0.0	2677.5	2410.0	2410.0
224	12288.0	958.7829	929.81	27157.25	4.75	5898.68	2346.0	2346.0
244	12288.0	827.018	785.8	27929.13	0.0	4680.61	2354.0	2354.0
228	12288.0	1174.7522	1153.8	28483.71	0.0	3678.7	2400.0	2400.0
246	13312.0	1318.5109	1270.23	29346.56	3.21	2748.37	2474.0	2474.0
242	12288.0	1366.0356	1332.27	28440.64	0.0	2662.98	2397.0	2397.0
225	12288.0	1092.4847	1059.61	24898.14	2.18	6245.83	2300.0	2300.0
213	13312.0	989.6945	880.56	26795.79	1.18	5190.74	2473.0	2473.0
240	12288.0	943.8248	916.28	28588.44	77.7	2676.69	2409.0	2409.0
226	12288.0	815.3186	783.38	28873.48	4.68	5106.45	2433.0	2433.0
216	12288.0	1121.1015	1046.83	28148.37	16.44	2635.64	2372.0	2372.0
240	12288.0	1188.7775	1099.72	28337.69	4.1	5012.6	2388.0	2388.0
247	12288.0	500.4977	474.4	28172.51	0.0	4192.78	2374.0	2374.0
222	12288.0	582.9761	550.37	27764.64	0.0	2600.95	2341.0	2341.0
213	12288.0	586.3494	553.53	27434.96	0.02	2568.56	2312.0	2312.0
216	12288.0	1101.2278	1058.23	27845.32	621.0	2608.68	2348.0	2348.0
226	934.0	1016.8897	986.13	22151.52	4.18	4781.17	1867.0	1867.0
248	889.0	587.9742	550.66	21083.12	83.47	3122.29	1777.0	1777.0
216	611.0	240.2943	223.75	13164.47	0.0	1356.83	1221.0	1221.0
215	611.0	593.7282	584.69	13177.07	252.98	2560.72	1220.0	1220.0
248	606.0	634.4401	615.49	14371.98	148.52	1345.6	1211.0	1211.0
215	600.0	435.7712	403.96	21338.64	0.0	1997.15	1198.0	1198.0
213	579.0	227.8008	221.69	13759.57	0.0	2149.34	1158.0	1158.0
223	625.0	542.097	522.45	14828.62	137.9	1663.93	1248.0	1248.0
215	587.0	619.4251	585.32	12426.63	2.66	2462.36	1173.0	1173.0
218	612.0	520.8684	490.46	13005.96	3.2	2565.04	1222.0	1222.0
248	398.0	286.3266	251.71	8217.79	0.0	1669.8	1000.0	1000.0
213	412.0	356.3871	345.33	9785.91	0.0	915.36	1000.0	1000.0
225	409.0	308.0726	283.67	8418.52	0.0	907.27	1000.0	1000.0
222	417.0	351.5073	340.47	9903.4	0.0	926.35	1000.0	1000.0
222	408.0	259.418	246.4	9707.76	0.0	906.58	1000.0	1000.0
223	399.0	346.2927	314.12	8553.52	0.0	885.77	1000.0	1000.0
219	382.0	147.2684	132.09	8094.24	0.0	848.18	1000.0	1000.0
213	397.0	394.9543	369.86	9432.77	0.0	880.97	1000.0	1000.0
219	378.0	611.3153	581.03	13667.1	0.0	1277.86	1000.0	1000.0
219	400.0	273.9732	253.85	8486.89	0.0	887.55	1000.0	1000.0
222	398.0	251.8498	222.35	8576.58	0.0	882.49	1000.0	1000.0
248	439.0	434.6121	399.7	9165.53	0.0	973.78	1000.0	1000.0
219	393.0	238.9063	224.65	9344.07	0.0	872.54	1000.0	1000.0
241	420.0	351.5391	338.88	9969.6	0.0	2276.21	1000.0	1000.0
213	401.0	279.4023	252.38	9519.64	0.0	890.38	1000.0	1000.0
242	404.0	414.9269	397.94	9606.14	0.0	1437.51	1000.0	1000.0
228	399.0	154.4914	133.86	8177.47	0.0	1672.6	1000.0	1000.0
228	404.0	263.3383	253.78	9593.51	0.0	895.94	1000.0	1000.0
218	399.0	165.1684	132.22	8683.8	0.0	884.91	1000.0	1000.0
