Node Name	Data Size	Total-time	CPU-time	max-rss	I/O In (read MB)	I/O out (write MB)	mem_mb	disk_mb
240	79.0	10.3747	7.86	198.22	0.0	27.23	1000.0	1000.0
216	46.0	35.091	12.86	953.19	0.0	102.0	1000.0	1000.0
217	44.0	41.4453	13.95	905.49	0.0	96.69	1000.0	1000.0
223	46.0	43.2239	13.78	934.89	0.0	99.98	1000.0	1000.0
241	46.0	29.6907	13.84	945.07	0.0	101.1	1000.0	1000.0
226	50.0	39.7954	14.47	1019.4	0.0	109.34	1000.0	1000.0
216	48.0	40.7857	14.09	987.25	0.0	105.78	1000.0	1000.0
220	53.0	21.0358	13.73	1090.5	0.0	117.07	1000.0	1000.0
242	47.0	44.0323	13.77	966.11	0.0	103.44	1000.0	1000.0
226	51.0	42.8191	13.77	1052.49	0.07	113.03	1000.0	1000.0
226	28.0	21.976	14.11	572.37	0.0	61.3	1000.0	1000.0
228	27.0	32.7174	14.3	549.85	0.0	58.8	1000.0	1000.0
241	25.0	20.3497	14.18	501.33	0.0	53.42	1000.0	1000.0
219	25.0	21.1892	14.41	513.66	0.0	54.74	1000.0	1000.0
222	26.0	20.8817	14.25	539.69	0.0	57.66	1000.0	1000.0
213	30.0	23.8929	14.31	605.23	0.0	64.94	1000.0	1000.0
220	30.0	21.0412	13.78	612.9	0.12	65.78	1000.0	1000.0
228	27.0	27.9467	14.26	544.75	0.0	58.25	1000.0	1000.0
248	17.0	15.6058	12.81	419.42	0.0	69.66	1000.0	1000.0
224	79.0	5.8438	4.32	198.34	0.0	17.48	1000.0	1000.0
241	36.0	14.5786	13.01	878.49	0.0	93.09	1000.0	1000.0
227	36.0	35.9587	14.11	748.44	0.0	79.18	1000.0	1000.0
228	33.0	31.6026	14.26	660.68	0.0	71.12	1000.0	1000.0
247	35.0	26.0578	13.96	720.65	0.0	76.12	1000.0	1000.0
242	35.0	26.7671	14.11	720.89	0.0	76.15	1000.0	1000.0
218	40.0	38.3974	14.14	816.72	0.0	86.73	1000.0	1000.0
241	35.0	14.4342	12.53	869.61	0.0	77.23	1000.0	1000.0
223	41.0	17.0105	13.85	893.69	0.0	90.67	1000.0	1000.0
222	36.0	26.6522	9.96	740.39	4.41	78.19	1000.0	1000.0
221	34.0	26.2203	14.28	713.06	0.0	75.28	1000.0	1000.0
224	41.0	32.397	13.99	840.21	0.0	89.42	1000.0	1000.0
248	13.0	11.7092	9.05	302.4	0.0	26.8	1000.0	1000.0
224	13.0	9.2126	7.4	279.75	0.0	26.92	1000.0	1000.0
221	12.0	4.9339	3.34	252.28	0.0	24.44	1000.0	1000.0
221	11.0	5.1586	3.29	235.18	0.0	23.88	1000.0	1000.0
242	12.0	9.5941	7.81	287.36	0.0	25.43	1000.0	1000.0
239	12.0	5.3962	3.67	262.89	0.0	25.16	1000.0	1000.0
220	12.0	14.3855	11.2	286.86	0.0	36.89	1000.0	1000.0
224	98.0	16.2185	13.0	246.25	0.0	52.75	1000.0	1000.0
247	12.0	5.5746	3.74	257.94	0.0	48.27	1000.0	1000.0
221	11.0	4.8529	3.28	272.66	0.0	23.97	1000.0	1000.0
223	96.0	7.6976	5.87	240.93	0.0	21.12	1000.0	1000.0
217	13.0	12.384	10.5	290.16	0.0	28.15	1000.0	1000.0
241	13.0	5.1933	3.34	260.84	0.0	50.72	1000.0	1000.0
228	12.0	15.6956	12.76	282.64	0.0	46.82	1000.0	1000.0
228	11.0	13.5469	10.82	258.19	0.0	42.88	1000.0	1000.0
225	14.0	13.2662	10.58	337.68	0.0	56.77	1000.0	1000.0
226	13.0	5.7984	4.24	322.9	0.0	28.56	1000.0	1000.0
246	12.0	6.8105	5.39	290.27	0.0	48.49	1000.0	1000.0
213	12.0	5.467	3.71	258.3	0.0	24.78	1000.0	1000.0
221	13.0	10.1574	8.29	293.87	0.0	26.79	1000.0	1000.0
247	16.0	20.5902	14.31	316.94	0.0	33.71	1000.0	1000.0
248	12.0	14.6096	11.81	291.22	0.0	57.96	1000.0	1000.0
226	15.0	6.3367	4.63	350.04	0.0	31.21	1000.0	1000.0
246	12.0	5.409	3.81	291.6	0.0	26.41	1000.0	1000.0
215	12.0	8.3127	6.48	247.58	0.0	46.77	1000.0	1000.0
216	13.0	5.3908	3.79	305.61	0.0	27.02	1000.0	1000.0
221	11.0	14.2086	11.33	275.85	0.0	59.45	1000.0	1000.0
216	13.0	16.99	13.12	308.15	0.0	51.57	1000.0	1000.0
244	11.0	9.1033	7.27	245.87	0.0	57.69	1000.0	1000.0
222	16.0	7.4396	5.77	392.32	0.0	35.01	1000.0	1000.0
220	13.0	18.0018	14.38	307.58	0.0	27.3	1000.0	1000.0
240	13.0	6.0226	4.17	279.2	0.0	27.13	1000.0	1000.0
227	11.0	15.854	12.46	275.42	0.0	24.31	1000.0	1000.0
240	12.0	9.532	7.88	288.01	0.0	25.48	1000.0	1000.0
242	83.0	11.9021	9.03	210.09	0.0	33.45	1000.0	1000.0
215	46.0	3279.7414	3230.72	71356.95	0.05	12634.72	1000.0	1000.0
220	44.0	39.6806	13.16	906.71	0.0	96.69	1000.0	1000.0
223	46.0	18.2022	13.59	935.88	0.0	99.98	1000.0	1000.0
247	46.0	25.0657	13.73	946.48	0.0	101.09	1000.0	1000.0
219	50.0	40.9581	13.81	1019.4	0.0	109.34	1000.0	1000.0
248	53.0	43.0708	14.5	1088.58	0.0	117.08	1000.0	1000.0
244	51.0	40.1238	14.29	1052.49	0.0	113.03	1000.0	1000.0
217	31.0	26.6323	13.93	632.82	0.0	68.02	1000.0	1000.0
241	43.0	40.6695	14.8	886.89	0.0	94.45	1000.0	1000.0
248	40.0	31.2067	14.1	827.22	0.0	88.0	1000.0	1000.0
220	42.0	33.4513	14.02	865.69	0.0	92.25	1000.0	1000.0
217	41.0	38.2807	14.03	854.19	0.0	90.98	1000.0	1000.0
246	45.0	17.41	14.0	956.68	0.0	98.92	1000.0	1000.0
223	46.0	48.0126	14.8	952.25	0.0	101.27	1000.0	1000.0
223	46.0	37.5173	14.05	954.88	0.0	102.1	1000.0	1000.0
247	42.0	17.7162	13.73	880.67	0.0	92.33	1000.0	1000.0
213	48.0	38.8788	13.97	989.6	0.0	106.04	1000.0	1000.0
247	24.0	18.7152	12.66	483.34	0.07	51.4	1000.0	1000.0
246	29.0	22.784	14.16	592.49	0.0	63.56	1000.0	1000.0
244	30.0	23.1206	14.44	608.1	0.0	65.27	1000.0	1000.0
225	31.0	23.9731	13.95	627.41	0.0	67.41	1000.0	1000.0
248	29.0	32.279	14.63	581.86	0.0	62.34	1000.0	1000.0
216	33.0	25.7495	14.08	662.73	0.0	71.34	1000.0	1000.0
221	33.0	35.4394	14.39	690.09	0.0	72.7	1000.0	1000.0
240	31.0	23.9955	2.66	638.55	3.21	68.68	1000.0	1000.0
218	32.0	28.4397	14.16	657.62	0.0	70.77	1000.0	1000.0
227	31.0	13.1117	11.26	762.36	0.0	68.71	1000.0	1000.0
215	35.0	33.2848	14.01	721.93	0.0	76.11	1000.0	1000.0
244	31.0	13.0462	11.25	755.44	0.0	68.05	1000.0	1000.0
216	17.0	14.0652	0.0	418.41	5.96	90.14	1000.0	1000.0
242	20.0	15.3946	13.91	458.84	0.0	104.77	1000.0	1000.0
228	19.0	15.1534	13.71	417.49	0.0	76.77	1000.0	1000.0
219	20.0	23.1855	14.39	405.16	0.0	42.61	1000.0	1000.0
226	18.0	9.379	7.37	431.77	0.0	38.09	1000.0	1000.0
227	20.0	9.0094	7.26	478.39	0.0	42.45	1000.0	1000.0
242	19.0	14.3938	12.68	464.82	0.0	41.21	1000.0	1000.0
228	19.0	8.0362	6.29	465.59	0.0	41.14	1000.0	1000.0
223	18.0	8.21	6.31	432.48	0.0	38.16	1000.0	1000.0
225	21.0	8.6506	6.93	521.52	0.0	46.37	1000.0	1000.0
225	18.0	7.6136	5.88	450.04	0.0	39.71	1000.0	1000.0
219	23.0	13.1418	11.54	560.5	0.0	49.94	1000.0	1000.0
228	21.0	24.7178	14.55	423.21	0.0	44.69	1000.0	1000.0
227	20.0	9.2773	7.38	495.9	0.0	43.93	1000.0	1000.0
244	21.0	28.1355	14.18	433.2	0.0	45.8	1000.0	1000.0
226	23.0	22.676	14.39	468.86	0.0	49.78	1000.0	1000.0
244	22.0	13.7267	12.14	532.99	0.0	67.89	1000.0	1000.0
216	20.0	16.4709	14.05	442.65	0.0	44.32	1000.0	1000.0
246	20.0	8.7285	6.83	491.21	0.0	43.51	1000.0	1000.0
241	20.0	10.8488	8.88	492.0	0.0	43.66	1000.0	1000.0
215	22.0	9.6685	7.79	525.23	0.0	46.69	1000.0	1000.0
224	22.0	8.6417	6.81	531.1	0.0	47.23	1000.0	1000.0
240	20.0	15.7942	14.15	492.17	0.0	43.75	1000.0	1000.0
228	19.0	9.781	7.83	425.75	0.0	40.86	1000.0	1000.0
240	25.0	10.48	8.78	601.05	0.0	53.71	1000.0	1000.0
248	22.0	34.8224	14.05	455.51	0.0	48.3	1000.0	1000.0
244	21.0	31.9671	14.16	438.18	2.3	46.37	1000.0	1000.0
222	23.0	39.7488	14.2	473.87	0.0	50.33	1000.0	1000.0
240	23.0	16.6975	12.98	561.52	4.7	73.78	1000.0	1000.0
223	23.0	23.2825	14.3	466.83	0.0	49.54	1000.0	1000.0
223	23.0	38.9869	14.43	469.7	0.0	49.26	1000.0	1000.0
241	24.0	17.9746	14.12	487.3	0.0	51.85	1000.0	1000.0
239	27.0	30.5784	13.8	544.56	0.0	58.18	1000.0	1000.0
220	25.0	28.8646	14.36	509.09	0.0	54.24	1000.0	1000.0
215	24.0	10.4121	8.9	526.89	0.0	97.31	1000.0	1000.0
242	26.0	11.1282	9.3	642.75	0.0	57.61	1000.0	1000.0
246	24.0	33.9736	14.25	486.81	0.0	51.79	1000.0	1000.0
240	24.0	10.1018	8.25	578.38	0.0	51.67	1000.0	1000.0
219	27.0	20.6527	14.27	548.45	0.0	58.63	1000.0	1000.0
218	25.0	29.0634	14.17	510.69	0.0	54.42	1000.0	1000.0
248	23.0	9.561	7.69	558.37	0.0	49.79	1000.0	1000.0
220	83.0	6.2856	4.73	209.84	0.0	34.43	1000.0	1000.0
226	28.0	25.532	14.36	572.44	0.0	61.3	1000.0	1000.0
223	27.0	10.4998	8.97	655.57	0.0	58.8	1000.0	1000.0
246	25.0	10.5943	8.85	598.02	0.0	53.42	1000.0	1000.0
247	28.0	12.3426	10.47	689.47	0.0	118.71	1000.0	1000.0
222	25.0	22.6932	14.52	513.55	0.0	54.74	1000.0	1000.0
221	26.0	19.7005	14.51	539.54	0.0	57.66	1000.0	1000.0
224	27.0	32.3223	14.5	557.34	0.0	59.61	1000.0	1000.0
219	30.0	23.3473	13.86	605.45	0.0	64.94	1000.0	1000.0
241	30.0	28.5251	14.34	607.58	0.0	65.21	1000.0	1000.0
213	28.0	35.0255	14.59	571.45	0.0	61.17	1000.0	1000.0
218	30.0	34.4168	14.38	612.83	0.0	65.78	1000.0	1000.0
246	31.0	16.6252	14.08	668.78	0.0	67.36	1000.0	1000.0
247	28.0	21.9162	14.01	566.13	0.0	60.6	1000.0	1000.0
248	27.0	11.5383	9.92	651.11	0.0	110.11	1000.0	1000.0
221	32.0	32.2041	14.71	654.63	0.0	70.43	1000.0	1000.0
244	17.0	7.7506	5.8	377.96	0.0	69.66	1000.0	1000.0
218	39.0	26.9316	14.32	798.96	0.0	84.83	1000.0	1000.0
216	37.0	29.0022	14.1	761.52	0.0	80.68	1000.0	1000.0
225	38.0	31.1333	14.23	788.24	0.08	83.64	1000.0	1000.0
222	36.0	27.9402	14.14	748.97	0.0	79.29	1000.0	1000.0
221	39.0	15.8152	13.85	964.43	0.0	86.06	1000.0	1000.0
221	41.0	32.5735	14.11	843.0	0.0	89.72	1000.0	1000.0
217	44.0	35.3337	14.03	909.39	0.0	97.11	1000.0	1000.0
226	40.0	39.4657	14.48	850.92	0.0	87.82	1000.0	1000.0
248	41.0	29.1262	14.5	849.66	0.0	90.35	1000.0	1000.0
246	41.0	40.1969	14.59	866.55	0.0	90.98	1000.0	1000.0
247	24.0	30.1967	14.22	483.8	0.0	51.39	1000.0	1000.0
219	37.0	29.02	14.37	761.57	0.0	80.68	1000.0	1000.0
244	38.0	29.4099	14.16	788.15	0.0	83.64	1000.0	1000.0
215	36.0	41.7668	14.43	749.26	0.0	79.29	1000.0	1000.0
241	39.0	15.9798	13.7	964.2	0.0	86.06	1000.0	1000.0
216	43.0	28.6064	14.06	888.57	0.0	94.62	1000.0	1000.0
221	41.0	48.4831	44.17	1002.31	0.0	107.77	1000.0	1000.0
216	44.0	33.0978	4.38	909.39	0.14	97.12	1000.0	1000.0
242	40.0	17.3339	13.77	854.54	0.0	87.82	1000.0	1000.0
225	41.0	24.5426	13.95	849.39	0.11	90.34	1000.0	1000.0
242	41.0	17.6582	13.89	869.62	0.0	90.98	1000.0	1000.0
225	7.4	3.5495	1.79	155.8	0.0	16.25	1000.0	1000.0
216	46.0	35.091	12.86	953.19	0.0	102.0	1000.0	1000.0
217	44.0	41.4453	13.95	905.49	0.0	96.69	1000.0	1000.0
223	46.0	43.2239	13.78	934.89	0.0	99.98	1000.0	1000.0
241	46.0	29.6907	13.84	945.07	0.0	101.1	1000.0	1000.0
226	50.0	39.7954	14.47	1019.4	0.0	109.34	1000.0	1000.0
216	48.0	40.7857	14.09	987.25	0.0	105.78	1000.0	1000.0
220	53.0	21.0358	13.73	1090.5	0.0	117.07	1000.0	1000.0
242	47.0	44.0323	13.77	966.11	0.0	103.44	1000.0	1000.0
226	51.0	42.8191	13.77	1052.49	0.07	113.03	1000.0	1000.0
219	13.0	9.561	8.04	301.94	0.0	50.59	1000.0	1000.0
240	13.0	11.2325	8.64	305.3	0.0	65.75	1000.0	1000.0
224	12.0	6.0429	4.27	252.48	0.0	24.44	1000.0	1000.0
239	11.0	5.8778	4.2	271.87	0.0	23.88	1000.0	1000.0
240	9.5	4.8112	3.25	239.32	0.0	20.95	1000.0	1000.0
240	12.0	5.6469	3.77	250.19	0.0	47.48	1000.0	1000.0
226	12.0	9.7762	7.91	260.61	0.0	25.19	1000.0	1000.0
247	13.0	14.6321	11.69	324.66	0.0	28.87	1000.0	1000.0
225	9.8	7.9104	6.49	213.39	0.0	52.75	1000.0	1000.0
247	12.0	9.2478	7.51	289.07	0.0	25.58	1000.0	1000.0
226	11.0	5.3249	3.77	271.89	0.0	23.97	1000.0	1000.0
242	9.6	4.8211	3.16	241.71	0.0	21.12	1000.0	1000.0
241	13.0	5.9455	4.32	291.68	0.0	28.15	1000.0	1000.0
213	13.0	10.3437	8.53	275.18	0.0	26.88	1000.0	1000.0
216	12.0	9.5209	7.96	282.51	0.0	24.98	1000.0	1000.0
226	11.0	7.646	5.88	232.09	0.0	42.88	1000.0	1000.0
221	13.0	15.7041	12.43	320.25	0.0	53.75	1000.0	1000.0
246	13.0	5.8885	4.26	316.46	0.0	28.12	1000.0	1000.0
244	14.0	6.3234	4.83	339.41	0.0	30.07	1000.0	1000.0
242	13.0	10.558	9.06	321.4	0.0	28.56	1000.0	1000.0
