0 	 4,2M 	 GCF_000005825.2_ASM582v2_genomic.fna
1 	 4,5M 	 GCF_000005845.2_ASM584v2_genomic.fna
2 	 2,4M 	 GCF_000006605.1_ASM660v1_genomic.fna
3 	 744K 	 GCF_000006625.1_ASM662v1_genomic.fna
4 	 4,6M 	 GCF_000006645.1_ASM664v1_genomic.fna
5 	 1,1M 	 GCF_000006685.1_ASM668v1_genomic.fna
6 	 2,7M 	 GCF_000006725.1_ASM672v1_genomic.fna
7 	 3,9M 	 GCF_000006745.1_ASM674v1_genomic.fna
8 	 6,1M 	 GCF_000006765.1_ASM676v1_genomic.fna
9 	 1,8M 	 GCF_000006785.2_ASM678v2_genomic.fna
10 	 2,2M 	 GCF_000006825.1_ASM682v1_genomic.fna
11 	 2,1M 	 GCF_000006845.1_ASM684v1_genomic.fna
12 	 2,3M 	 GCF_000006865.1_ASM686v1_genomic.fna
13 	 2,1M 	 GCF_000006885.1_ASM688v1_genomic.fna
14 	 3,9M 	 GCF_000006905.1_ASM690v1_genomic.fna
15 	 4,7M 	 GCF_000006925.2_ASM692v2_genomic.fna
16 	 4,8M 	 GCF_000006945.2_ASM694v2_genomic.fna
17 	 6,5M 	 GCF_000006965.1_ASM696v1_genomic.fna
18 	 2,1M 	 GCF_000006985.1_ASM698v1_genomic.fna
19 	 1,3M 	 GCF_000007025.1_ASM702v1_genomic.fna
20 	 2,0M 	 GCF_000007045.1_ASM704v1_genomic.fna
21 	 2,6M 	 GCF_000007085.1_ASM708v1_genomic.fna
22 	 2,0M 	 GCF_000007105.1_ASM710v1_genomic.fna
23 	 3,2M 	 GCF_000007125.1_ASM712v1_genomic.fna
24 	 5,0M 	 GCF_000007145.1_ASM714v1_genomic.fna
25 	 5,1M 	 GCF_000007165.1_ASM716v1_genomic.fna
26 	 1,2M 	 GCF_000007205.1_ASM720v1_genomic.fna
27 	 2,5M 	 GCF_000007245.1_ASM724v1_genomic.fna
28 	 2,1M 	 GCF_000007265.1_ASM726v1_genomic.fna
29 	 1,9M 	 GCF_000007285.1_ASM728v1_genomic.fna
30 	 635K 	 GCF_000007365.1_ASM736v1_genomic.fna
31 	 4,5M 	 GCF_000007405.1_ASM740v1_genomic.fna
32 	 1,9M 	 GCF_000007425.1_ASM742v1_genomic.fna
33 	 5,1M 	 GCF_000007445.1_ASM744v1_genomic.fna
34 	 2,0M 	 GCF_000007465.2_ASM746v2_genomic.fna
35 	 917K 	 GCF_000007485.1_ASM748v1_genomic.fna
36 	 3,3M 	 GCF_000007505.1_ASM750v1_genomic.fna
37 	 2,2M 	 GCF_000007525.1_ASM752v1_genomic.fna
